player_id,first_name,last_name,is_captain,player_status,player_url,team_name,team_id,team_color,position,position_text,final_score,player_headshot,round_1_score,round_2_score,round_3_score,round_1_eagles_or_better,round_1_birdies,round_1_bogeys,round_1_double_bogeys_or_worse,round_1_total_score,round_1_start_hole,detail-1-1,detail-1-2,detail-1-3,detail-1-4,detail-1-5,detail-1-6,detail-1-7,detail-1-8,detail-1-9,detail-1-10,detail-1-11,detail-1-12,detail-1-13,detail-1-14,detail-1-15,detail-1-16,detail-1-17,detail-1-18,round_3_eagles_or_better,round_3_birdies,round_3_bogeys,round_3_double_bogeys_or_worse,round_3_total_score,round_3_start_hole,detail-3-1,detail-3-2,detail-3-3,detail-3-4,detail-3-5,detail-3-6,detail-3-7,detail-3-8,detail-3-9,detail-3-10,detail-3-11,detail-3-12,detail-3-13,detail-3-14,detail-3-15,detail-3-16,detail-3-17,detail-3-18,round_2_eagles_or_better,round_2_birdies,round_2_bogeys,round_2_double_bogeys_or_worse,round_2_total_score,round_2_start_hole,detail-2-1,detail-2-2,detail-2-3,detail-2-4,detail-2-5,detail-2-6,detail-2-7,detail-2-8,detail-2-9,detail-2-10,detail-2-11,detail-2-12,detail-2-13,detail-2-14,detail-2-15,detail-2-16,detail-2-17,detail-2-18
10012,Dustin,Johnson,True,Playing,https://www.livgolf.com/players/dustin-johnson/,4Aces GC,10006.0,#1a1b37,1,1,-12,https://images.livgolf.com/image/private/{formatInstructions}/prd/wllcjynmh9xvmubfnvu1,-3,-8,-1,0,4,1,0,67,3,4,4,4,4,3,4,4,3,4,4,4,3,4,3,4,2,5,4,0,4,3,0,69,1,4,4,4,4,3,5,4,3,5,4,5,3,3,4,4,3,3,4,0,8,0,0,62,18,4,3,4,4,3,4,4,2,4,3,3,3,4,4,4,2,3,4
10008,Talor,Gooch,False,Playing,https://www.livgolf.com/players/talor-gooch/,Smash GC,10009.0,#1e00e9,2,T2,-11,https://images.livgolf.com/image/private/{formatInstructions}/prd/fnoe86urhifrocuwesmr,-4,-4,-3,0,5,1,0,66,18,4,3,4,4,3,4,5,2,4,4,4,2,4,4,4,3,4,4,0,6,1,1,67,2,4,3,4,4,2,4,4,3,5,6,4,3,4,3,5,2,3,4,0,5,1,0,66,3,6,3,3,4,3,4,3,3,4,4,4,3,3,4,5,3,3,4
10038,Peter,Uihlein,False,Playing,https://www.livgolf.com/players/peter-uihlein/,RangeGoats GC,10011.0,#F74FD4,3,T2,-11,https://images.livgolf.com/image/private/{formatInstructions}/prd/echoy1wabbq4skq0xohc,-4,-5,-2,0,6,2,0,66,15,4,4,3,5,3,5,4,3,3,4,3,3,4,4,5,3,3,3,0,4,2,0,68,1,5,4,3,3,3,4,4,3,3,4,5,3,4,4,5,4,3,4,0,6,1,0,65,3,4,5,3,4,3,4,3,2,4,4,4,3,4,4,4,3,3,4
10055,Matthew,Wolff,False,Playing,https://www.livgolf.com/players/matthew-wolff/,RangeGoats GC,10011.0,#F74FD4,4,4,-10,https://images.livgolf.com/image/private/{formatInstructions}/prd/yhujicsfes9ad2oafv03,-5,-4,-1,0,5,0,0,65,11,4,4,3,4,3,4,4,2,4,4,4,2,3,4,5,3,4,4,0,3,2,0,69,1,5,4,3,4,3,4,4,3,4,3,4,3,3,5,5,4,4,4,0,5,1,0,66,2,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,3,3,4
10022,Graeme,McDowell,False,Playing,https://www.livgolf.com/players/graeme-mcdowell/,Smash GC,10009.0,#1e00e9,5,T5,-9,https://images.livgolf.com/image/private/{formatInstructions}/prd/qfwluk1xoq513bpiyn83,-4,E,-5,0,5,1,0,66,6,4,4,4,4,3,4,3,3,4,4,4,2,3,5,4,3,4,4,0,5,0,0,65,7,5,4,3,4,3,4,4,3,4,3,4,3,4,4,5,2,3,3,0,3,3,0,70,4,5,4,4,4,4,4,4,2,4,3,5,4,4,4,4,3,4,4
10058,Paul,Casey,False,Playing,https://www.livgolf.com/players/paul-casey/,Crushers GC,10008.0,#111B2B,6,T5,-9,https://images.livgolf.com/image/private/{formatInstructions}/prd/aapu0f5zuwg4khdmmf0x,-7,E,-2,0,8,1,0,63,8,4,4,4,4,2,4,3,3,4,5,4,2,3,4,4,2,4,3,0,3,1,0,68,2,4,3,5,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,0,5,3,1,70,1,4,4,4,6,3,4,4,2,5,4,5,3,3,3,6,3,4,3
10060,Jason,Kokrak,False,Playing,https://www.livgolf.com/players/jason-kokrak/,Smash GC,10009.0,#1e00e9,7,T5,-9,https://images.livgolf.com/image/private/{formatInstructions}/prd/gq0zqtqieotg39vshuhv,-5,-3,-1,0,6,1,0,65,16,4,4,3,4,3,4,5,3,4,3,4,3,3,4,5,2,3,4,0,4,3,0,69,1,4,5,4,4,2,5,4,3,4,4,4,3,4,3,4,3,4,5,1,3,2,0,67,2,3,4,4,5,3,5,4,2,4,4,4,2,4,4,5,3,4,3
10147,Jon,Rahm,True,Playing,https://www.livgolf.com/players/jon-rahm/,Legion XIII,10013.0,#ff006b,8,8,-8,https://images.livgolf.com/image/private/{formatInstructions}/v1738854691/prd/gstlfwxqyurdjmmseusv,-2,-7,+1,0,3,1,0,68,2,4,5,3,4,3,4,4,3,4,4,4,3,4,3,5,3,4,4,0,2,3,0,71,1,5,4,3,4,3,5,4,3,4,3,4,3,4,4,6,3,4,5,0,7,0,0,63,6,4,4,3,3,3,4,3,2,4,4,4,3,3,4,4,3,4,4
10073,Sebastian,Mu̱oz,False,Playing,https://www.livgolf.com/players/sebastian-munoz/,Torque GC,10010.0,#4EBFBA,9,T9,-7,https://images.livgolf.com/image/private/{formatInstructions}/prd/an7gbhvygyl4whbpg1at,-3,-2,-2,0,4,1,0,67,5,5,4,4,3,3,3,4,2,4,5,3,3,4,4,5,3,4,4,0,3,1,0,68,6,5,4,4,3,3,4,5,3,4,4,4,3,4,3,5,3,3,4,0,4,2,0,68,16,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,3,5,5
10152,Adrian,Meronk,False,Playing,https://www.livgolf.com/players/adrian-meronk/,Cleeks GC,10003.0,#034034,10,T9,-7,https://images.livgolf.com/image/private/{formatInstructions}/v1738774248/prd/kptojp7g87xkg5qgowrn,-3,-2,-2,0,5,2,0,67,7,5,4,4,4,4,3,5,2,4,3,4,3,4,3,4,3,4,4,0,6,4,0,68,5,5,3,5,3,3,4,4,2,3,5,5,4,4,3,5,2,4,4,0,3,1,0,68,18,5,4,4,4,3,4,3,2,4,4,4,3,3,4,5,4,4,4
10050,Bryson,DeChambeau,True,Playing,https://www.livgolf.com/players/bryson-dechambeau/,Crushers GC,10008.0,#111B2B,11,T9,-7,https://images.livgolf.com/image/private/{formatInstructions}/prd/zbsiaklmv9tzliirg7ky,-3,-8,+4,0,4,1,0,67,2,4,4,4,4,3,5,4,3,4,3,4,3,4,4,4,3,3,4,0,1,3,1,74,1,5,4,4,4,4,4,4,3,3,6,5,3,4,4,5,4,4,4,0,9,1,0,62,4,5,4,4,3,3,3,3,3,3,4,3,4,3,3,4,2,4,4
10149,Caleb,Surratt,False,Playing,https://www.livgolf.com/players/caleb-surratt/,Legion XIII,10013.0,#ff006b,12,T12,-6,https://images.livgolf.com/image/private/{formatInstructions}/v1738771384/prd/vkfx1lxlu6ryzqrrnmk5,-3,-1,-2,0,7,4,0,67,13,4,3,5,5,3,4,3,3,3,5,3,4,4,3,4,3,4,4,0,3,1,0,68,7,4,4,4,3,3,5,4,3,4,4,3,3,4,4,5,3,4,4,0,3,2,0,69,17,5,4,4,3,3,4,4,2,5,5,4,3,4,4,4,3,4,4
10052,Brooks,Koepka,True,Playing,https://www.livgolf.com/players/brooks-koepka/,Smash GC,10009.0,#1e00e9,13,T12,-6,https://images.livgolf.com/image/private/{formatInstructions}/prd/ub5ujwthuvtm627ovjye,-2,-3,-1,0,4,2,0,68,2,4,4,4,3,3,4,4,2,4,5,4,3,4,5,4,3,4,4,0,3,2,0,69,5,5,4,4,4,3,3,4,4,4,4,3,3,4,3,5,4,4,4,0,5,2,0,67,7,5,4,3,4,2,4,4,3,4,4,4,2,4,4,4,4,3,5
10148,Tyrrell,Hatton,False,Playing,https://www.livgolf.com/players/tyrrell-hatton/,Legion XIII,10013.0,#ff006b,14,T12,-6,https://images.livgolf.com/image/private/{formatInstructions}/prd/p07xceump6yrii0advxi,-3,-3,E,0,4,1,0,67,3,4,5,4,3,2,4,4,3,4,4,4,3,4,4,4,3,4,4,0,4,4,0,70,4,4,3,4,4,3,4,5,3,5,3,4,3,4,5,5,3,3,5,1,2,1,0,67,18,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,4,4
10053,Pat,Perez,False,Playing,https://www.livgolf.com/players/pat-perez/,4Aces GC,10006.0,#1a1b37,15,T15,-5,https://images.livgolf.com/image/private/{formatInstructions}/prd/aroec2wfgbi4gsc63s3i,-3,-1,-1,0,6,3,0,67,9,5,4,4,4,2,4,3,3,5,4,3,2,3,3,6,3,5,4,0,4,3,0,69,6,4,5,4,4,3,4,4,2,4,5,4,3,4,4,5,4,3,3,0,5,4,0,69,4,4,4,4,5,4,5,4,3,5,3,4,2,3,4,5,3,3,4
10061,Henrik,Stenson,True,Playing,https://www.livgolf.com/players/henrik-stenson/,Majesticks GC,10004.0,#190046,16,T15,-5,https://images.livgolf.com/image/private/{formatInstructions}/prd/oeuo6vfzpdachdjgmq9q,-2,-3,E,0,5,3,0,68,17,4,4,5,4,3,5,4,2,4,3,3,3,4,4,4,3,4,5,0,5,3,1,70,16,4,4,4,4,4,5,3,3,6,3,4,3,3,4,4,3,5,4,0,6,3,0,67,5,4,4,5,4,3,3,4,2,3,5,4,2,4,5,4,3,4,4
10033,David,Puig,False,Playing,https://www.livgolf.com/players/david-puig/,Fireballs GC,10007.0,#E52322,17,T15,-5,https://images.livgolf.com/image/private/{formatInstructions}/prd/tmckrylgouov3feovo3z,-3,-3,+1,0,5,2,0,67,7,4,3,3,4,4,4,4,3,5,4,3,3,4,3,5,3,4,4,0,3,4,0,71,4,6,4,4,4,2,4,5,4,4,3,4,4,4,4,5,3,3,4,0,6,3,0,67,17,4,4,3,5,2,3,4,3,4,4,4,3,5,3,4,3,5,4
10002,Richard,Bland,False,Playing,https://www.livgolf.com/players/richard-bland/,Cleeks GC,10003.0,#034034,18,T15,-5,https://images.livgolf.com/image/private/{formatInstructions}/prd/p382uiu2jfnxfeq5tfcx,-1,-5,+1,0,2,1,0,69,11,5,4,4,3,3,4,5,3,4,4,4,3,4,4,4,3,4,4,0,4,3,1,71,17,4,5,4,3,2,4,4,3,4,4,4,4,4,5,4,3,4,6,0,5,0,0,65,11,5,3,4,4,3,4,4,3,3,4,4,2,3,4,4,3,4,4
10069,Bubba,Watson,True,Playing,https://www.livgolf.com/players/bubba-watson/,RangeGoats GC,10011.0,#F74FD4,19,T15,-5,https://images.livgolf.com/image/private/{formatInstructions}/prd/atuimnpintsvzsqpz5s2,-5,-2,+2,0,7,2,0,65,1,4,4,4,4,3,3,3,4,4,3,3,3,4,4,4,4,4,3,0,3,3,1,72,2,6,4,4,4,3,6,5,2,4,4,4,4,3,4,5,3,3,4,0,4,2,0,68,2,4,4,5,4,3,5,3,3,4,4,3,3,4,4,5,2,4,4
10063,Cameron,Smith,True,Playing,https://www.livgolf.com/players/cameron-smith/,Ripper GC,10012.0,#590526,20,T15,-5,https://images.livgolf.com/image/private/{formatInstructions}/prd/dnvxovc9rowiwhc8ocv0,-3,-4,+2,0,6,1,1,67,3,4,4,3,4,2,5,4,3,6,4,4,3,3,4,4,3,4,3,0,4,3,1,72,3,4,5,4,3,3,4,4,3,5,4,5,3,4,4,4,3,3,7,0,5,1,0,66,17,4,4,4,4,3,4,4,3,4,3,3,4,3,3,5,3,4,4
10032,Ian,Poulter,True,Playing,https://www.livgolf.com/players/ian-poulter/,Majesticks GC,10004.0,#190046,21,T21,-4,https://images.livgolf.com/image/private/{formatInstructions}/prd/paeberpy6dwng1nxksjd,E,-1,-3,0,3,3,0,70,4,5,4,4,5,2,4,4,2,3,4,4,3,4,5,6,3,4,4,0,4,1,0,67,12,4,4,4,4,3,3,4,2,5,4,4,3,4,4,4,3,4,4,0,2,1,0,69,12,5,5,4,3,3,4,4,3,4,4,4,3,4,4,5,2,4,4
10066,Marc,Leishman,False,Playing,https://www.livgolf.com/players/marc-leishman/,Ripper GC,10012.0,#590526,22,T21,-4,https://images.livgolf.com/image/private/{formatInstructions}/prd/tbihmecxnfx0wf9o7ok1,-1,-3,E,0,2,1,0,69,6,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,0,6,4,1,70,7,4,5,4,3,3,4,5,2,3,3,5,3,4,4,4,4,4,6,1,2,1,0,67,11,3,4,4,4,3,3,4,3,4,4,4,3,4,4,4,3,4,5
10049,Abraham,Ancer,False,Playing,https://www.livgolf.com/players/abraham-ancer/,Fireballs GC,10007.0,#E52322,23,T21,-4,https://images.livgolf.com/image/private/{formatInstructions}/prd/u7bounakh7xbo917xjjr,-3,-2,+1,0,5,2,0,67,16,5,3,4,3,3,5,4,3,4,4,4,2,4,3,4,3,4,5,0,3,4,0,71,5,4,3,4,4,4,5,5,3,4,4,3,3,4,4,5,3,4,5,0,5,3,0,68,16,5,5,3,4,3,3,4,2,4,3,4,3,4,5,5,2,4,5
10009,Branden,Grace,False,Playing,https://www.livgolf.com/players/branden-grace/,Stinger GC,10002.0,#007749,24,T21,-4,https://images.livgolf.com/image/private/{formatInstructions}/prd/ltrsat7tg7vfpqzlgprx,-1,-5,+2,0,3,2,0,69,17,5,4,4,4,3,4,4,2,4,4,4,3,4,5,4,3,3,5,0,1,3,0,72,17,5,4,4,4,3,3,4,3,5,4,5,3,4,4,5,3,5,4,0,6,1,0,65,10,4,4,5,4,2,4,4,3,4,4,3,3,3,3,5,3,3,4
10003,Laurie,Canter,False,Playing,https://www.livgolf.com/players/laurie-canter/,,,$undefined,25,T21,-4,https://images.livgolf.com/image/private/{formatInstructions}/prd/czfv4rsu8pzboj8esxe8,-1,-6,+3,0,5,4,0,69,13,4,5,4,3,4,4,4,3,4,3,4,3,4,5,4,3,3,5,0,0,3,0,73,3,5,5,5,4,3,4,5,3,4,4,4,3,4,4,5,3,4,4,0,6,0,0,64,11,5,4,4,4,3,3,4,2,4,4,4,2,4,3,4,3,4,3
10011,Sam,Horsfield,False,Playing,https://www.livgolf.com/players/sam-horsfield/,Majesticks GC,10004.0,#190046,26,T26,-3,https://images.livgolf.com/image/private/{formatInstructions}/prd/wrw9avtcr9yg32ngdwst,+1,-1,-3,0,1,2,0,71,11,5,5,4,4,3,4,4,3,5,4,3,3,4,4,5,3,4,4,0,4,1,0,67,13,5,4,3,4,3,4,4,2,4,4,5,2,4,3,5,3,4,4,0,3,2,0,69,14,5,4,4,4,3,4,4,3,4,4,4,4,3,5,5,2,3,4
10141,Kalle,Samooja,False,Playing,https://www.livgolf.com/players/kalle-samooja/,Cleeks GC,10003.0,#034034,27,T26,-3,https://images.livgolf.com/image/private/{formatInstructions}/prd/umk35lwst9k0dtxtut3v,-1,E,-2,0,4,3,0,69,10,5,4,4,5,3,3,5,3,4,3,3,3,4,4,5,2,5,4,0,4,2,0,68,11,5,5,4,4,3,4,4,3,4,3,4,3,3,5,4,3,3,4,0,3,3,0,70,9,5,3,3,5,3,4,4,3,5,4,4,4,4,4,4,3,4,4
10065,Harold,Varner III,False,Playing,https://www.livgolf.com/players/harold-varner-iii/,4Aces GC,10006.0,#1a1b37,28,T26,-3,https://images.livgolf.com/image/private/{formatInstructions}/prd/bcgikj61u6ow9dgq4az3,-7,+4,E,0,7,0,0,63,4,4,4,3,3,2,4,4,2,4,4,4,3,4,3,5,2,4,4,0,3,1,1,70,8,5,6,4,4,4,4,3,3,4,4,4,3,4,3,4,3,4,4,0,0,4,0,74,1,5,5,4,4,3,4,5,3,4,4,5,3,4,4,5,3,4,5
10007,Sergio,Garcia,True,Playing,https://www.livgolf.com/players/sergio-garcia/,Fireballs GC,10007.0,#E52322,29,T26,-3,https://images.livgolf.com/image/private/{formatInstructions}/prd/b7cfdljmwl8uimbvpyic,-1,-2,E,0,3,2,0,69,1,5,4,4,5,3,4,3,4,3,3,4,3,4,4,5,3,4,4,0,5,1,2,70,9,4,4,6,4,2,4,3,3,6,3,4,3,4,4,4,3,4,5,0,3,1,0,68,10,5,5,3,4,2,4,4,3,4,4,4,2,4,4,5,3,4,4
